CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Pebble Beach Resorts (Pebble Beach Golf Links),,,,1,1,8.75,Pebble Beach,CA,United States,-,36.56800461,-121.95239258
Bandon Dunes Golf Resort (Pacific Dunes),,,,2,2,8.57,Bandon,OR,United States,-,43.11899185,-124.41091156
Pinehurst (No. 2),,,,3,3,8.27,Pinehurst,NC,United States,-,35.19354248,-79.47373199
Bandon Dunes Golf Resort (Old Macdonald),,,,4,4,8.14,Bandon,OR,United States,-,43.11899185,-124.41091156
Kohler Whistling Straits (Straits),,,,5,5,8.11,Mosel,WI,United States,-,43.84910965,-87.7408905
Bandon Dunes Golf Resort (Bandon Dunes),,,,6,6,8.05,Bandon,OR,United States,-,43.11899185,-124.41091156
Bandon Dunes Golf Resort (Bandon Trails),,,,7,7,8.03,Bandon,OR,United States,-,43.11899185,-124.41091156
Shadow Creek,,,,8,8,7.98,North Las Vegas,NV,United States,-,36.25787735,-115.10778046
Kiawah Island Golf Resort (Ocean),,,,9,9,7.97,Kiawah Island,SC,United States,-,32.59770584,-80.12947845
Bethpage State Park (Black),,,,10,10,7.95,Farmingdale,NY,United States,-,40.73291016,-73.44587708
Bandon Dunes Golf Resort (Sheep Ranch),,,,11,12,7.8,Bandon,OR,United States,-,43.11899185,-124.41091156
Pasatiempo,,,,12,13,7.77,Santa Cruz,CA,United States,-,37.0021019,-122.02624512
TPC Sawgrass (Players Stadium),,,,13,11,7.74,Ponte Vedra Beach,FL,United States,-,30.2428093,-81.38282013
Pebble Beach Resorts (Spyglass Hill),,,,14,14,7.66,Pebble Beach,CA,United States,-,36.58354075,-121.95912861
Landmand,,,,14,NEW,7.66,Homer,NE,United States,-,42.32246017,-96.49082947
Four Seasons Resort Lanai (Manele),,,,16,15,7.6,Lanai,HI,United States,-,20.74189398,-156.88883773
Sand Valley (Mammoth Dunes),,,,17,15,7.59,Nekoosa,WI,United States,-,44.31536865,-89.90203857
Sand Valley (Sand Valley),,,,18,17,7.54,Nekoosa,WI,United States,-,44.1760548,-89.85651565
Streamsong (Red),,,,19,18,7.5,Bowling Green,FL,United States,-,27.63849449,-81.83010864
Kapalua (Plantation),,,,20,18,7.49,Maui,HI,United States,-,20.79049492,-156.33694458
Chambers Bay,,,,21,23,7.47,University Place,WA,United States,-,47.20036697,-122.57072449
Gamble Sands,,,,22,20,7.38,Brewster,WA,United States,-,48.07782032,-119.64417128
Lawsonia (Links),,,,23,20,7.33,Green Lake,WI,United States,-,43.8557594,-88.9427073
Streamsong (Blue),,,,24,24,7.32,Bowling Green,FL,United States,-,27.63849449,-81.83010864
Streamsong (Black),,,,25,22,7.3,Bowling Green,FL,United States,-,27.63849449,-81.83010864
Sea Pines Resort (Harbour Town GL),,,,26,25,7.29,Hilton Head Island,SC,United States,-,32.0859116,-81.08522167
Arcadia Bluffs (Bluffs),,,,27,26,7.25,Arcadia,MI,United States,-,42.44962198,-83.57555858
Erin Hills,,,,28,29,7.24,Erin,WI,United States,-,43.24463272,-88.40179443
Fallen Oak,,,,29,28,7.2,Saucier,MS,United States,-,30.64637871,-88.90261778
Sea Island (Seaside),,,,30,32,7.19,St. Simons Island,GA,United States,-,31.16634564,-81.40590482
Karsten Creek,,,,31,31,7.16,Stillwater,OK,United States,-,36.02762292,-97.19365263
Sweetens Cove,,,,32,26,7.15,South Pittsburg,TN,United States,-,35.0401825,-85.70048
Prairie Club (Dunes),,,,33,30,7.13,Valentine,NE,United States,-,35.153016,-106.517376
Primland (Highland),,,,33,33,7.13,Meadows of Dan,VA,United States,-,36.73815536,-80.39051819
Omni Homestead Resort (Cascades),,,,35,39,7.08,Hot Springs,VA,United States,-,37.99156952,-79.83317566
Pinehurst (No. 4),,,,36,34,7.07,Pinehurst,NC,United States,-,35.19354248,-79.47373199
Mystic Creek,,,,37,38,7.01,El Dorado,AR,United States,-,33.22662098,-92.7313541
Marquette GC (Greywalls),,,,38,34,6.99,Marquette,MI,United States,-,46.528769,-87.3943904
Torrey Pines (South),,,,39,38,6.98,San Diego,CA,United States,-,32.58366776,-117.0969696
Wild Horse,,,,40,41,6.97,Gothenburg,NE,United States,-,40.95870836,-100.20311156
Wine Valley,,,,41,46,6.95,Walla Walla,WA,United States,-,46.0595646,-118.49637791
Forest Dunes (The Loop Red & Black),,,,42,43,6.93,Roscommon,MI,United States,-,44.5841725,-84.5119405
Mossy Oak,,,,43,40,6.92,West Point,MS,United States,-,30.37709339,-88.71406789
Silvies Valley Ranch (Hankins),,,,43,44,6.92,Seneca,OR,United States,-,44.00879099,-118.88468845
Kohler Blackwolf Run (River),,,,45,43,6.91,Kohler,WI,United States,-,43.72548676,-87.7755661
Yocha Dehe at Cache Creek Casino,,,,46,69,6.9,Brooks,CA,United States,-,38.74276352,-122.14852142
