CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
The Estancia Club,,,,1,1,9.6,Scottsdale,AZ,United States,-,33.73460007,-111.86549377
Forest Highlands Golf Club: Canyon,,,,2,2,8.8,Flagstaff,AZ,United States,-,35.19817734,-111.65132141
Whisper Rock Golf Club: Upper Course,,,,3,3,9.2,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Whisper Rock Golf Club: Lower Course,,,,4,5,9.0,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Scottsdale National Golf Club: The Other Course,,,,5,NR,8.2,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Stone Canyon,,,,6,4,9.0,Tucson,AZ,United States,-,32.3960531,-110.95221651
Pine Canyon,,,,7,6,9.6,Flagstaff,AZ,United States,-,35.16142654,-111.63942719
Desert Forest Golf Club,,,,8,7,8.6,Carefree,AZ,United States,-,33.82097626,-111.92116547
Forest Highlands Golf Club: Meadow,,,,9,10,8.0,Flagstaff,AZ,United States,-,35.19817734,-111.65132141
Desert Highlands Golf Club,,,,10,8,8.2,Scottsdale,AZ,United States,-,33.74875641,-111.82000732
Silverleaf Club,,,,11,13,8.4,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Desert Mountain Club: Chiricahua Course,,,,12,11,8.6,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Desert Mountain Club: Geronimo Course,,,,13,12,8.0,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Desert Mountain Club: Renegade Course,,,,14,9,8.0,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Scottsdale National Golf Club: Mineshaft,,,,15,19,8.8,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
The Rim Golf Club,,,,16,14,8.0,Payson,AZ,United States,-,34.24280548,-111.28244019
Quintero Golf Club,,,,17,15,8.0,Peoria,AZ,United States,-,33.57508469,-112.23731232
Mirabel Golf Club,,,,18,17,8.2,Scottsdale,AZ,United States,-,33.74875641,-111.82000732
Troon Country Club,,,,19,20,8.4,Scottsdale,AZ,United States,-,33.5872612,-111.91375732
Chaparral Pines,,,,20,16,8.0,Payson,AZ,United States,-,34.25888478,-111.27692481
Wickenburg Ranch: Big Wick,,,,21,22,8.0,Wickenburg,AZ,United States,-,33.96889114,-112.73005676
Desert Mountain Club: Cochise Course,,,,22,24,7.8,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
We-Ko-Pa Golf Club: Saguaro,,,,23,18,8.2,Fort McDowell,AZ,United States,-,33.63676834,-111.67482758
Seven Canyons,,,,24,23,-,Sedona,AZ,United States,-,34.78791287,-111.78313383
The Gallery Golf Club: North,,,,25,28,8.2,Marana,AZ,United States,-,32.4533844,-111.21218109
Golf Club At Dove Mountain: Saguaro/Tortolita,,,,26,25,0.0,Marana,AZ,United States,-,32.4533844,-111.21218109
Desert Mountain Club: Outlaw Course,,,,27,27,7.8,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Flagstaff Ranch Golf Club,,,,28,21,9.0,Flagstaff,AZ,United States,-,35.17581558,-111.70900726
Troon North Golf Club: Monument,,,,29,30,8.4,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
The Gallery Golf Club: South,,,,30,26,8.4,Marana,AZ,United States,-,32.4533844,-111.21218109
Talking Rock,,,,31,NR,8.4,Prescott,AZ,United States,-,34.76346841,-112.57225544
Ventana Canyon: Mountain,,,,32,34,8.0,Tucson,AZ,United States,-,32.23841858,-111.11470032
We-Ko-Pa Golf Club: Cholla,,,,33,31,7.6,Fort McDowell,AZ,United States,-,33.63676834,-111.67482758
Blackstone Country Club,,,,34,35,6.4,Peoria,AZ,United States,-,33.76325989,-112.32281494
TPC Scottsdale: Stadium,,,,35,29,7.8,Scottsdale,AZ,United States,-,33.48884201,-111.9201355
Ak-Chin Southern Dunes Golf Club,,,,36,33,8.4,Maricopa,AZ,United States,-,33.05580521,-112.04572296
Grayhawk Golf Club: Raptor,,,,37,NR,7.6,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
Superstition Mountain: Lost Gold,,,,38,NR,7.8,Gold Canyon,AZ,United States,-,33.38105285,-111.46813505
Troon North Golf Club: Pinnacle,,,,39,32,8.0,Scottsdale,AZ,United States,-,33.49490738,-111.92606354
The Boulders Club: South,,,,40,NR,8.0,Carefree,AZ,United States,-,33.82097626,-111.92116547
