CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Nanea Golf Club,,,,1,1,9.6,Kailua Kona,HI,United States,-,19.63682365,-155.98547363
Manele Golf Course,,,,2,2,9.2,Lanai,HI,United States,-,20.74230957,-156.89489746
Kapalua: Plantation,,,,3,3,9.0,Lahaina,HI,United States,-,20.87711334,-156.68132019
Kukio Golf Club,,,,4,4,8.6,Kailua Kona,HI,United States,-,19.63682365,-155.98547363
Mauna Kea Beach Hotel Golf Course,,,,5,5,8.8,Kamuela,HI,United States,-,20.02224159,-155.67393494
The Club At Hokulia,,,,6,6,8.6,Kealakekua,HI,United States,-,19.51141548,-155.95039368
Kohanaiki Golf & Ocean Club,,,,7,7,8.2,Kailua Kona,HI,United States,-,19.63682365,-155.98547363
Makai Golf Club,,,,8,9,8.4,Princeville,HI,United States,-,22.22190285,-159.48280334
The Club at Kukui'ula,,,,9,8,8.6,Koloa,HI,United States,-,21.90423584,-159.46533203
Hualalai Resort,,,,10,10,7.8,Kailua Kona,HI,United States,-,19.63682365,-155.98547363
Poipu Bay Golf Course,,,,11,11,8.2,Koloa,HI,United States,-,21.90423584,-159.46533203
Wailea Golf Club: Gold,,,,12,13,8.2,Kihei,HI,United States,-,20.78145599,-156.46269226
Ocean Course at Hokuala,,,,13,NR,7.6,Lihue,HI,United States,-,21.9675808,-159.35797119
The King Kamehameha Golf Club,,,,14,15,7.8,Wailuku,HI,United States,-,20.88694191,-156.50482178
Wailea Golf Club: Emerald,,,,15,NR,8.0,Kihei,HI,United States,-,20.78145599,-156.46269226
Mauna Lani Resort: North,,,,16,NR,7.4,Kamuela,HI,United States,-,20.02224159,-155.67393494
Kapalua: Bay,,,,17,NR,7.2,Lahaina,HI,United States,-,21.00301417,-156.66304049
Turtle Bay Resort: Palmer Course,,,,18,NR,8.0,Kahuku,HI,United States,-,21.67767334,-157.95213318
Hapuna Golf Course,,,,19,NR,7.4,Kamuela,HI,United States,-,20.02224159,-155.67393494
Mauna Lani Resort: South,,,,20,NR,7.8,Kamuela,HI,United States,-,20.02224159,-155.67393494
