CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Victoria National Golf Club,,,,1,1,9.8,Newburgh,IN,United States,-,37.9452858,-87.40510559
Crooked Stick Golf Club,,,,2,2,8.6,Carmel,IN,United States,-,39.94789886,-86.19409943
French Lick Resort: Pete Dye Course,,,,3,3,8.8,French Lick,IN,United States,-,38.54777527,-86.62317657
Sycamore Hills Golf Club,,,,4,4,9.0,Fort Wayne,IN,United States,-,41.07747269,-85.13749695
The Pfau Course At Indiana University,,,,5,5,7.6,Bloomington,IN,United States,-,39.17966461,-86.51112366
French Lick Resort: Donald Ross Course,,,,6,7,7.8,French Lick,IN,United States,-,38.55207443,-86.61832428
Brickyard Crossing Golf Course,,,,7,8,7.8,Indianapolis,IN,United States,-,39.76845169,-86.15621185
Birck Boilermaker Golf Complex: Kampen Course,,,,8,6,8.2,West Lafayette,IN,United States,-,40.45475388,-86.91569519
Holliday Farms Golf Club: Championship Course,,,,9,NR,8.8,Zionsville,IN,United States,-,39.9503212,-86.26686859
Warren Golf Course at Notre Dame,,,,10,12,8.4,Notre Dame,IN,United States,-,41.7056694,-86.24752808
The Sagamore Club,,,,11,10,7.8,Noblesville,IN,United States,-,40.04560471,-86.01223755
South Bend Country Club,,,,12,9,8.0,South Bend,IN,United States,-,41.67503357,-86.25196075
The Club At Chatham Hills,,,,13,NR,7.4,Westfield,IN,United States,-,40.04273605,-86.12973785
Rock Hollow Golf Club,,,,14,13,7.6,Peru,IN,United States,-,40.75376129,-86.06911469
Birck Boilermaker Golf Complex: Ackerman-Allen,,,,15,11,7.8,West Lafayette,IN,United States,-,40.40086952,-86.75719867
