CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Congressional Country Club: Blue,,,,1,1,9.0,Bethesda,MD,United States,-,38.98485565,-77.09268951
Baltimore Country Club: East,,,,2,2,9.0,Lutherville Timonium,MD,United States,-,39.42629623,-76.61294556
Caves Valley Golf Club,,,,3,3,8.6,Owings Mills,MD,United States,-,39.41368103,-76.78165436
Burning Tree Club,,,,4,4,8.4,Bethesda,MD,United States,-,38.98485565,-77.09268951
Woodmont Country Club: North,,,,5,10,8.4,Rockville,MD,United States,-,39.08417892,-77.1529007
Congressional Country Club: Gold,,,,6,6,7.6,Bethesda,MD,United States,-,38.98485565,-77.09268951
Chevy Chase Club,,,,7,5,8.0,Chevy Chase,MD,United States,-,38.97360229,-77.08429718
Columbia Country Club,,,,8,8,8.4,Chevy Chase,MD,United States,-,38.97360229,-77.08429718
Bulle Rock Golf Course,,,,9,7,8.4,Havre de Grace,MD,United States,-,39.54766083,-76.09162903
Four Streams,,,,10,9,8.0,Beallsville,MD,United States,-,39.17915726,-77.41295624
Bethesda Country Club,,,,11,NR,6.6,Bethesda,MD,United States,-,39.01596832,-77.15257263
TPC Potomac At Avenel Farm,,,,12,NR,7.6,Potomac,MD,United States,-,39.02661896,-77.20392609
U.S. Naval Academy Golf Club,,,,13,NR,7.6,Annapolis,MD,United States,-,38.95049667,-76.47640991
Links At Perry Cabin,,,,14,NR,7.6,Saint Michaels,MD,United States,-,38.78653717,-76.22432709
Whiskey Creek Golf Club,,,,15,NR,7.8,Ijamsville,MD,United States,-,39.36062241,-77.32333374
