CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Glenwild Golf Club & Spa,,,,1,1,9.0,Park City,UT,United States,-,40.66031647,-111.5094986
Victory Ranch,,,,2,2,9.2,Kamas,UT,United States,-,40.64313889,-111.28079224
Red Ledges Golf Club,,,,3,3,6.2,Heber City,UT,United States,-,40.50630951,-111.4116745
Promontory Club: Painted Valley Course,,,,4,5,7.2,Park City,UT,United States,-,40.66031647,-111.5094986
Talisker Club at Tuhaye,,,,5,4,6.6,Kamas,UT,United States,-,40.64313889,-111.28079224
Sand Hollow Resort Championship Course,,,,6,6,8.2,Hurricane,UT,United States,-,37.17645645,-113.30056
Promontory Club Dye Canyon Course,,,,7,7,7.4,Park City,UT,United States,-,40.66031647,-111.5094986
Park Meadows Country Club,,,,8,8,6.0,Park City,UT,United States,-,40.66031647,-111.5094986
Entrada at Snow Canyon,,,,9,10,7.4,Saint George,UT,United States,-,37.15252304,-113.63987732
Salt Lake Country Club,,,,10,9,7.2,Salt Lake City,UT,United States,-,40.71685028,-111.82830048
