CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Kinloch Golf Club,,,,1,1,9.2,Manakin Sabot,VA,United States,-,37.60177231,-77.70213318
The Olde Farm,,,,2,2,9.6,Bristol,VA,United States,-,36.61510468,-82.17228699
Robert Trent Jones Golf Club,,,,3,3,9.2,Gainesville,VA,United States,-,38.79195404,-77.60984802
The Highland Course At Primland,,,,4,5,9.0,Meadows of Dan,VA,United States,-,36.73815536,-80.39051819
Ballyhack Golf Club,,,,5,6,9.0,Roanoke,VA,United States,-,37.2326088,-79.88803864
The Omni Homestead Resort: Cascades Course,,,,6,5,8.6,Hot Springs,VA,United States,-,37.99156952,-79.83317566
Golden Horseshoe Golf Club: Gold Course,,,,7,7,8.2,Williamsburg,VA,United States,-,37.27556229,-76.70901489
Trump National Golf Club Washington DC: Championship,,,,8,8,8.4,Potomac Falls,VA,United States,-,39.00611115,-77.42861176
The Country Club of Virginia: James River,,,,9,9,8.8,Richmond,VA,United States,-,37.55334473,-77.51609802
The Club at Creighton Farms,,,,10,15,8.6,Aldie,VA,United States,-,38.97546768,-77.64055634
The Virginian Golf Club,,,,11,10,8.8,Bristol,VA,United States,-,36.62320328,-82.0899353
Pete Dye River Course of Virginia Tech,,,,12,NR,8.0,Radford,VA,United States,-,37.14012146,-80.56232452
Kingsmill Resort: The River Course,,,,13,11,8.4,Williamsburg,VA,United States,-,37.27556229,-76.70901489
Spring Creek Golf Club,,,,14,13,8.4,Gordonsville,VA,United States,-,38.1390152,-78.18818665
Birdwood Golf Course at Boar's Head Resort,,,,15,NR,8.8,Charlottesville,VA,United States,-,38.04856491,-78.54145813
The Federal Club,,,,16,NR,8.0,Glen Allen,VA,United States,-,37.66256332,-77.48513031
River Bend Club,,,,17,NR,9.0,Great Falls,VA,United States,-,38.99843597,-77.29301453
Independence Golf Club: Championship,,,,18,NR,8.2,Midlothian,VA,United States,-,37.50111771,-77.50480652
Royal New Kent Golf Club,,,,19,12,8.2,Providence Forge,VA,United States,-,37.4446907,-77.04423523
Poplar Grove Golf Club,,,,20,14,8.0,Amherst,VA,Canada,-,45.29553604,-75.51545715
Cutalong At Lake Anna,,,,21,NR,-,Mineral,VA,United States,-,38.07998445,-77.79016943
Farmington Country Club: North & South Nines,,,,22,NR,7.6,Charlottesville,VA,United States,-,38.03104782,-78.47415924
Mattaponi Springs Golf Club,,,,23,19,6.6,Ruther Glen,VA,United States,-,37.93018723,-77.45874786
The Foundry Golf Club,,,,24,17,8.0,Powhatan,VA,United States,-,37.54106903,-77.91886139
Full Cry at Keswick Golf Club,,,,25,20,8.0,Keswick,VA,United Kingdom,-,54.61846924,-3.03112006
